APPOINTMENT_MONTH,APPOINTMENT_MODE,total_appointments,pct_of_month
2022-07-01,Face-to-Face,16246355,66.95
2022-07-01,Home Visit,153326,0.63
2022-07-01,Telephone,7726729,31.84
2022-07-01,Video/Online,139822,0.58
2022-08-01,Face-to-Face,16892370,67.76
2022-08-01,Home Visit,165178,0.66
2022-08-01,Telephone,7726064,30.99
2022-08-01,Video/Online,146556,0.59
2022-09-01,Face-to-Face,18264917,69.66
2022-09-01,Home Visit,168299,0.64
2022-09-01,Telephone,7616007,29.05
2022-09-01,Video/Online,170829,0.65
2022-10-01,Face-to-Face,21604797,73.07
2022-10-01,Home Visit,188659,0.64
2022-10-01,Telephone,7558215,25.56
2022-10-01,Video/Online,213678,0.72
2022-11-01,Face-to-Face,20685603,71.18
2022-11-01,Home Visit,198071,0.68
2022-11-01,Telephone,7991716,27.5
2022-11-01,Video/Online,185436,0.64
2022-12-01,Face-to-Face,17491963,69.93
2022-12-01,Home Visit,179235,0.72
2022-12-01,Telephone,7191851,28.75
2022-12-01,Video/Online,150040,0.6
2023-01-01,Face-to-Face,19673552,70.78
2023-01-01,Home Visit,205549,0.74
2023-01-01,Telephone,7739639,27.84
2023-01-01,Video/Online,178419,0.64
2023-02-01,Face-to-Face,18303213,71.3
2023-02-01,Home Visit,186379,0.73
2023-02-01,Telephone,7015970,27.33
2023-02-01,Video/Online,165921,0.65
2023-03-01,Face-to-Face,20945597,71.14
2023-03-01,Home Visit,217637,0.74
2023-03-01,Telephone,8077766,27.44
2023-03-01,Video/Online,202109,0.69
2023-04-01,Face-to-Face,15868112,70.68
2023-04-01,Home Visit,190082,0.85
2023-04-01,Telephone,6228507,27.74
2023-04-01,Video/Online,162586,0.72
2023-05-01,Face-to-Face,18161097,70.49
2023-05-01,Home Visit,227403,0.88
2023-05-01,Telephone,7106540,27.58
2023-05-01,Video/Online,269518,1.05
2023-06-01,Face-to-Face,19143188,69.97
2023-06-01,Home Visit,243862,0.89
2023-06-01,Telephone,7562952,27.64
2023-06-01,Video/Online,407509,1.49
2023-07-01,Face-to-Face,17974607,69.55
2023-07-01,Home Visit,233439,0.9
2023-07-01,Telephone,7150700,27.67
2023-07-01,Video/Online,483926,1.87
2023-08-01,Face-to-Face,18189892,69.35
2023-08-01,Home Visit,250030,0.95
2023-08-01,Telephone,7239799,27.6
2023-08-01,Video/Online,549653,2.1
2023-09-01,Face-to-Face,20647523,72.18
2023-09-01,Home Visit,252439,0.88
2023-09-01,Telephone,7116975,24.88
2023-09-01,Video/Online,587575,2.05
2023-10-01,Face-to-Face,22716398,72.59
2023-10-01,Home Visit,300579,0.96
2023-10-01,Telephone,7556502,24.15
2023-10-01,Video/Online,718555,2.3
2023-11-01,Face-to-Face,20297536,69.76
2023-11-01,Home Visit,286676,0.99
2023-11-01,Telephone,7707778,26.49
2023-11-01,Video/Online,805341,2.77
2023-12-01,Face-to-Face,16315234,68.48
2023-12-01,Home Visit,240825,1.01
2023-12-01,Telephone,6545739,27.48
2023-12-01,Video/Online,721671,3.03
2024-01-01,Face-to-Face,20589420,68.57
2024-01-01,Home Visit,312779,1.04
2024-01-01,Telephone,8155281,27.16
2024-01-01,Video/Online,968445,3.23
2024-02-01,Face-to-Face,19303569,68.44
2024-02-01,Home Visit,282509,1.0
2024-02-01,Telephone,7651956,27.13
2024-02-01,Video/Online,966257,3.43
2024-03-01,Face-to-Face,18576626,68.0
2024-03-01,Home Visit,272141,1.0
2024-03-01,Telephone,7441699,27.24
2024-03-01,Video/Online,1027836,3.76
2024-04-01,Face-to-Face,18975894,67.89
2024-04-01,Home Visit,294090,1.05
2024-04-01,Telephone,7528057,26.93
2024-04-01,Video/Online,1153940,4.13
2024-05-01,Face-to-Face,18870489,67.82
2024-05-01,Home Visit,296484,1.07
2024-05-01,Telephone,7449661,26.77
2024-05-01,Video/Online,1208274,4.34
2024-06-01,Face-to-Face,17594631,67.61
2024-06-01,Home Visit,270516,1.04
2024-06-01,Telephone,6977554,26.81
2024-06-01,Video/Online,1179742,4.53
2024-07-01,Face-to-Face,19310065,67.39
2024-07-01,Home Visit,299091,1.04
2024-07-01,Telephone,7682236,26.81
2024-07-01,Video/Online,1363733,4.76
2024-08-01,Face-to-Face,17031763,66.92
2024-08-01,Home Visit,272484,1.07
2024-08-01,Telephone,6880191,27.03
2024-08-01,Video/Online,1266368,4.98
2024-09-01,Face-to-Face,18630144,67.66
2024-09-01,Home Visit,283700,1.03
2024-09-01,Telephone,7237631,26.29
2024-09-01,Video/Online,1381942,5.02
2024-10-01,Face-to-Face,25242689,71.99
2024-10-01,Home Visit,369348,1.05
2024-10-01,Telephone,7881182,22.48
2024-10-01,Video/Online,1570989,4.48
2024-11-01,Face-to-Face,19660260,68.28
2024-11-01,Home Visit,311284,1.08
2024-11-01,Telephone,7315733,25.41
2024-11-01,Video/Online,1506555,5.23
2024-12-01,Face-to-Face,17332217,66.93
2024-12-01,Home Visit,285108,1.1
2024-12-01,Telephone,6845695,26.43
2024-12-01,Video/Online,1434612,5.54
